key,title,doi,year,first_author,type,venue,decision,exclusion_criterion,justification,llm_base,adaptation_technique,fine_tuning_method,dataset,output_format,evaluation_method,personalization,educational_level,rq_coverage,key_findings
2C6NXEJ4,GenAI-Powered Text Personalization: Natural Language Processing Validation of Adaptation Capabilities,10.3390/app15126791,2025,Huynh,journalArticle,Applied Sciences (Switzerland),IN,,"The article meets all inclusion criteria: published in 2025 (CI1), in English (CI2), it is a journal article in Applied Sciences (CI3), uses LLMs (Claude 3.5 Sonnet, Llama 3.1, Gemini Pro 1.5, ChatGPT-4) to generate and adapt scientific didactic text content (biology, chemistry, physics) personalised for different reader profiles (CI4), employs structured prompting and RAG as adaptation techniques (CI5), and the full text is available (CI6). The study directly addresses the personalisation of educational materials through LLMs with NLP validation, in line with the TFM on controlled generation of didactic material.",Claude 3.5 Sonnet; Llama 3.1; Gemini Pro 1.5; ChatGPT-4 (GPT-4o),"Prompting (single-shot and augmented with personification, chain-of-thought, RAG) for personalisation of scientific texts according to reader profiles",,"10 scientific texts on biology, chemistry, and physics adapted to 4 hypothetical reader profiles (varying prior knowledge, reading ability, and learning objectives)",Adapted educational text (paragraphs of scientific texts modified for different levels of complexity and cohesion),"Automatic NLP with Writing Analytics Tool (WAT): readability metrics (FKGL), conceptual density, cohesion, syntactic and lexical complexity; human evaluation of quality with a rubric (reader-text alignment, comprehension, engagement)",yes,Not explicitly specified; hypothetical profiles range from beginner to advanced readers with university-level knowledge,RQ2; RQ3; RQ5; RQ6; RQ7,"LLMs vary significantly in their ability to adjust linguistic features according to reader profiles (Exp. 1). Prompting augmented with RAG, chain-of-thought, and personification substantially improves profile-text alignment (Exp. 2). NLP proves to be a scalable and efficient method for real-time validation of content personalisation generated by GenAI, allowing iterative refinement without costly human studies. Claude and ChatGPT show better performance in cohesion adjustment for low- and high-knowledge readers respectively."
3ESS4ZLC,Steerable Generative AI-Based Virtual Tutor for Design Learning,10.1109/ICCE-Taiwan66881.2025.11207751,2025,Huang,conferencePaper,"ICCE-Taiwan - IEEE Int. Conf. Consum. Electron. - Taiwan: Gener. AI Innov. Consum. Technol., Proc.",IN,,"Meets all inclusion criteria: (CI1) published in 2025; (CI2) in English; (CI3) IEEE conference paper (ICCE-Taiwan); (CI4) LLM applied to industrial design tutoring for didactic purposes; (CI5) explicit fine-tuning with LoRA on Llama-3-Taiwan-8B; (CI6) full text available. No exclusion criterion applies: it is not an editorial, not a review/survey, not in the medical domain, and uses the LLM as the core of the system. The system virtualises a master designer (Philippe Starck) through a fine-tuned LLM to provide personalised dialogic learning to Taiwanese industrial design students via a mixed-reality device (Meta Quest 3).",Llama-3-Taiwan-8B,"Fine-tuning with LoRA (Low-Rank Adaptation); dataset prepared from interview transcripts, official web content, and portfolios of the master designer","LoRA (rank 8, alpha 16, batch size 16, 30 epochs, lr 0.003, dropout 0.05)","Proprietary dataset built from Philippe Starck's materials: interview transcripts, official web content (bibliographies, portfolios); tokenised as a prompt dataset for NLP","Text responses generated by the fine-tuned LLM, converted to speech in Mandarin via VITS/VITS2 and presented through a dynamic avatar in a mixed-reality environment (Unity / Meta Quest 3)",Manual evaluation by industrial design professionals: >90% agreement with the master's original materials on a 30% test split of the dataset,partial,Higher education (university level); industrial design students in Taiwan,RQ1; RQ2; RQ3; RQ5; RQ6,"A LoRA fine-tuned LLM trained on original expert materials can effectively emulate the voice and design knowledge of a recognised master designer (>90% acceptability). Integrating speech recognition (Whisper), expressive speech synthesis (VITS2), and mixed reality (Meta Quest 3) produces an authentic and personalised learning experience. The steerable AI approach allows control over pedagogical style and teaching persona through the selection and preparation of the fine-tuning corpus. The system demonstrates viability as a proof of concept for expert knowledge transfer in creative design education."
43HJTHMD,Parameter Efficient Fine-Tuning of LLMs Enhanced with RAG to Assist Students with Lectures,10.1109/ICITR69413.2025.11353663,2025,Jiyadh,conferencePaper,Proc. ICITR - Int. Conf. Inf. Technol. Res.: Adv. Glob. Connect. Through Emerg. Inf. Technol. Solut.,IN,,"Meets all inclusion criteria: (CI1) published in 2025 at ICITR; (CI2) in English; (CI3) IEEE conference paper; (CI4) uses LLMs to generate didactic material (structured lecture notes, Q&A, question generation) assisting students with readings; (CI5) explicitly and in detail combines PEFT/LoRA (fine-tuning) with RAG; (CI6) full text available. No exclusion criterion applies: it is not an editorial, not a review/survey, not in the medical domain, and the LLM is central to the system.",Phi-3-mini-4k-Instruct; TinyLlama-1.1B-Chat; Llama-3.2-1B-Instruct,"PEFT with LoRA (Supervised Fine-Tuning of Low-Rank Adapters, rank=8, LoRA alpha=32) + RAG (ChromaDB as vector store, all-MiniLM-L6-V2 as embedding model, LangChain, dual-mode retrieval: metadata filtering + top-k similarity)",LoRA (PEFT/SFT) with the PEFT and TRL libraries on a free Google Colab GPU,"Author-created dataset: 500 short transcript examples (~15 min) and 124 long transcript examples (~30 min), with systematic paraphrasing as augmentation. Manually created gold-standard notes. Set of 100 questions for RAG evaluation.","Structured lecture notes in bullet points, answers to questions about lecture content, questions generated from past readings","ROUGE-1/2/L (lexical accuracy), BERTScore-F1 (semantic similarity), Perplexity (before/after fine-tuning), RAGAS metrics (context precision 0.9857, context recall 0.9571, faithfulness 0.7679, answer relevancy 0.9351, semantic similarity 0.9224, answer correctness 0.8377), hallucination rate (6.33% with RAG vs. 43.33% without RAG)",no,"Higher university education (University of Vavuniya, Sri Lanka)",RQ2; RQ3; RQ5; RQ6; RQ7,The phi3-lecture_note-ft model (Phi-3-mini-4k-Instruct fine-tuned with LoRA) outperformed Llama-3.2-1B-Instruct in lecture note generation. RAG integration reduced the hallucination rate by 37% (from 43.33% to 6.33%). RAGAS metrics show high retriever precision and recall (>0.98). The study demonstrates that small models (<4B params) efficiently fine-tuned with PEFT+RAG are viable on low-cost hardware. Increasing the LLM context window without RAG does not improve handling of long texts; RAG is the key strategy. The full pipeline (ASR + PEFT-LLM + RAG) operates end-to-end on modest hardware.
49QVQH55,AI-GENERATED LEARNING RESOURCES FOR CREATIVE FIELDS,10.29121/shodhkosh.v7.i1s.2025.7080,2026,Jadhav,journalArticle,ShodhKosh: Journal of Visual and Performing Arts,IN,,"Paper proposes a modular AI architecture for generating personalized, multimodal didactic resources in creative fields (art, design, music, media, architecture), explicitly incorporating fine-tuning pipelines and personalization mechanisms based on learner behavior. Satisfies CI1 (LLMs/generative AI central), CI2 (educational context), CI3 (fine-tuning + personalization method), CI4 (generation of didactic material), CI5 (2026), and CI6 (open access).",large language models; diffusion models; neural audio synthesis,fine-tuning; personalization; adaptive recommendations; learner profiling,Fine-tuning pipelines on creative domain datasets with personalization based on learner behavior and performance data,"Creative datasets, artistic workflows, metadata and annotations (domain-specific creative knowledge repositories)",tutorials; design prompts; visual content; audio/music; feedback and critiques,quantitative measures of learning effectiveness; qualitative user studies with students and educators,yes,"Higher education / lifelong learning (creative fields: art, design, music, media, architecture)",RQ1-fine-tuning for didactic generation; RQ2-personalization; RQ3-multimodal output; RQ4-evaluation of educational quality,"AI-generated learning resources using fine-tuned generative models improve engagement, conceptual knowledge, and creative efficiency in creative education; modular architecture combining knowledge repositories, fine-tuning pipelines, and learner profiling enables personalized multimodal content generation; critical issues include pedagogical alignment, quality assurance, cultural bias, and over-reliance on auto-generated content."
4KZUF8AE,LLaMa-Based Personalized Learning: Fine-Tuning Generative AI in Educational Recommendations,10.1007/978-3-031-98476-1_11,2025,Luong,conferencePaper,"SECOND INTERNATIONAL SYMPOSIUM ON GENERATIVE AI AND EDUCATION, ISGAIE 2025",IN,,"The paper fine-tunes LLaMA (with RLHF) on K-12 and OpenEdX datasets to generate personalized educational recommendations, directly addressing CI4 and CI5. It is a 2025 conference paper (ISGAIE 2025, Springer LNDECT) in English with an original empirical study, meeting CI1-CI6. The educational context is K-12 / e-learning and the work explicitly evaluates personalization per student profile.",LLaMA,fine-tuning,RLHF,"K-12 educational datasets and OpenEdX learning platform (50,000 students, 1,200 courses, 2.5M interactions)",personalized learning resource recommendations (ranked list),automatic,yes,K-12,RQ2; RQ4; RQ6; RQ7; RQ8,"Fine-tuned LLaMA achieves NDCG@10 of 0.754, outperforming hybrid CF+CBF (0.689) by leveraging transformer-based contextual embeddings; the model excels in cold-start and sparse data scenarios. Future work should address computational cost, fairness, and real-time adaptability."
4SM6LJG3,A Novel Approach to Scalable and Automatic Topic-Controlled Question Generation in Education,10.1145/3706468.3706487,2025,Li,conferencePaper,"Int. Conf. Learn. Anal. Knowl., LAK",IN,,"Meets all inclusion criteria: conference paper (LAK 2025) published in 2025, in English, presenting a topic-controlled automatic question generation system (T-CQG) through fine-tuning of a small language model (T5-small) with datasets specifically created for education. It applies supervised fine-tuning, quantisation (QLoRA, LLM.int8), and data augmentation. It generates didactic content (questions) and evaluates educational quality with automatic metrics and human evaluation. It is not a review, editorial, or in the medical domain.","T5-small (t5-small, ~60M parameters, encoder-decoder)",Supervised fine-tuning with a contrastive learning dataset (MixSQuAD); additional pretraining on scientific texts (PeS2O); 8-bit quantisation (LLM.int8) and 4-bit quantisation (QLoRA); data augmentation (MixSQuAD2X),Supervised fine-tuning with contrastive examples on T5-small; variants with post-training quantisation using LLM.int8 (TopicQG8bit) and QLoRA (TopicQG4bit),"SQuAD 1.1 (base), extended to SQuAD+ (wikification + topic annotation), then to MixSQuAD (contrastive pairs, 10,000 examples), and finally to MixSQuAD2X (augmented, 20,000 examples); evaluation on MixKhanQ (derived from KhanQ, 1,034 STEM questions from Khan Academy)","Open-ended, topic-controlled questions in text format; answer-agnostic","Automatic linguistic quality metrics (BLEU, METEOR, ROUGE, F1, Perplexity) + topical relevance metrics (BERTScore without stopwords, WikiSemRel based on Wikipedia/WAT API) + human annotator evaluation (MAE between annotators and SemRel score, n=4 annotators, 30 questions)",partial,"General (primary, secondary, MOOC, university); examples drawn from Khan Academy (K-12/STEM) and SQuAD (Wikipedia); emphasis on personalised tutoring systems and LMS",RQ2; RQ3; RQ4; RQ5; RQ6; RQ7,"Fine-tuning T5-small with contrastive examples (MixSQuAD) produces high-quality, topically relevant educational questions that surpass the baseline. Quantisation to 4-bit reduces the model to 94 MB with minimal performance loss, making the system viable on mobile devices without relying on proprietary LLMs such as ChatGPT. Additional pretraining on scientific texts (TopicQGedu) improves educational terminology. WikiSemRel is proposed as a topical semantic evaluation metric, validated by high inter-annotator agreement. The system is scalable and can be integrated into LMS and ITS platforms for personalised question generation."
4V8D4I33,LPITutor: An LLM based personalized intelligent tutoring system using RAG and prompt engineering,10.7717/peerj-cs.2991,2025,Liu,journalArticle,PeerJ Computer Science,EX,fuera-alcance,"LPITutor uses RAG and prompt engineering with a pre-trained GPT-3.5 model accessed via API with no fine-tuning applied; the system generates personalized tutoring dialogue responses (chatbot-style ITS) rather than structured didactic material in multiple formats, falling outside CI4 (generation of teaching material).",GPT-3.5,RAG; prompt engineering,none,Course documents embedded in a vector database (sentence-transformer encoders),conversational tutoring responses,accuracy; completeness; clarity; difficulty alignment; coherence; relevance,yes,not specified (general ITS for students),RQ2; RQ3; RQ6; RQ7,"LPITutor integrates RAG + adaptive prompt engineering over GPT-3.5 (API, no fine-tuning) to deliver personalized tutoring responses adapted to learner skill level and query complexity; no fine-tuning or generation of structured didactic material formats is involved."
5FUI77LU,ReviseSmart: An AI-Powered Personalized Revision Platform,10.1109/INSPECT67393.2025.11350596,2025,Shah,conferencePaper,"IEEE Int. Conf. Intelligent Signal Processing Effective Communication Technologies, INSPECT",IN,,"Meets all inclusion criteria: published in 2025 (CI1), in English (CI2), IEEE conference paper (CI3), applies LLMs to generate personalised didactic material, including courses, quizzes, and summaries (CI4), employs fine-tuning (LoRA/QLoRA on LLaMA-2) and structured prompting as adaptation techniques (CI5), and the full text is available (CI6). No exclusion criterion applies: it is not an editorial, not a review/survey, it does not belong to the medical domain, and the central focus is LLMs for education.",LLaMA-2-7b-chat-hf; Cohere; Gemini,Fine-tuning (LoRA + QLoRA) and structured prompting (prompt-engineered queries),"LoRA + QLoRA on NousResearch/Llama-2-7b-chat-hf; r=64, alpha=16, dropout=0.1; 1 epoch, batch 4, lr 2e-4, 250 steps",mlabonne/guanaco-llama2-1k (general instruction dataset for fine-tuning),"MCQs (multiple-choice questions), open-ended questions, video transcript summaries, structured course outlines","Controlled study (n=40, experimental vs. control): pre-test/post-test with two-sample t-test; satisfaction survey; system performance metrics (generation time, standard deviation)",yes,Higher education (undergraduate) and self-directed learning; implicitly applicable to secondary level as well,RQ1; RQ2; RQ3; RQ4; RQ5; RQ7,"ReviseSmart is a modular personalised revision platform that integrates fine-tuning (LoRA/QLoRA) of LLaMA-2 for generating quizzes and courses from documents and YouTube videos. The experimental group showed a 32% learning improvement versus 12% in the control group (p<0.05) and 87% satisfaction. The architecture combines Cohere and Gemini for parsing with fine-tuned LLaMA-2 for question generation, achieving personalisation according to the student's profile and materials."
5PZWS5AM,Design and Optimization of an Offline AI Model for Enhancing Student Learning and Academic Assistance,10.1109/STI69347.2025.11367565,2025,Masum,conferencePaper,"IEEE Int. Conf. Sustain. Technol. Ind. 5.0, STI",IN,,"Meets all inclusion criteria: year 2025 (CI1), English (CI2), IEEE conference paper (CI3), LLM applied to offline academic educational assistance (CI4), fine-tuning with LoRA plus quantisation on OpenStax/Alpaca educational data (CI5), full text available (CI6). No exclusion criterion applies: not an editorial, not a review, not in the medical domain, and uses LLM with specific adaptation techniques.",LLaMA 3.1-8B Instruct,Fine-tuning with LoRA (Low-Rank Adaptation) plus 4-bit GGUF quantisation via llama.cpp for offline deployment on consumer hardware,"LoRA (instruction tuning with instruction-response pairs derived from OpenStax and Alpaca; r=8, alpha=16, dropout=0.05, AdamW, 3 epochs per chunk); post-merge Q4_0 GGUF quantisation","OpenStax textbooks (Physics, Biology, Chemistry) + Stanford Alpaca dataset; custom dataset structured as instruction-output pairs; 70/15/15 split; ~16 GB RAM MacBook Pro","Textual responses in natural language aligned with academic curriculum (step-by-step explanations, textbook-style Q&A); desktop interface via tkinter and a local llama.cpp server","BLEU (sacreBLEU), ROUGE-L (rouge_score) on 1000 test samples; inference latency (seconds); RAM usage (GB); small human evaluation (10 educators, 100 responses, 1-5 scale for factuality and clarity); comparison with Phi-3 Mini, Mistral 7B, Gemma 7B, OpenHermes 2.5 (all 4-bit offline); statistical t-tests (p<0.05)",no,"Secondary and introductory university education (OpenStax content: Physics, Biology, Chemistry)",RQ2; RQ3; RQ5; RQ6,"LLaMA 3.1-8B fine-tuned with LoRA on OpenStax+Alpaca educational data and quantised to Q4_0 GGUF (4.2 GB) outperforms Phi-3 Mini, Mistral 7B, Gemma 7B, and OpenHermes 2.5 in BLEU (86.9 vs 72.1-77.8) and ROUGE-L (96.5 vs 88.4-92.5) on educational QA, with a latency of 2.0 s and a memory footprint of 4.2 GB on a MacBook Pro with 16 GB RAM. Quantisation reduces the model size from 16.1 GB to 4.2 GB with minimal degradation (under 2 BLEU points). The system is fully offline and reproducible, demonstrating viability for educational environments without internet connectivity."
6BYZDN3A,Agentic RAG for Personalized Learning: Design of an AI-Powered Learning Agent Using Open-Source Small Language Models,10.34190/ejel.23.4.4044,2025,Taneja,journalArticle,Electronic Journal of e-Learning,IN,,"Meets all inclusion criteria: year 2025 (CI1), English (CI2), peer-reviewed journal article in Electronic Journal of e-Learning (CI3), applies LLM/SLM (gemma 2:2b, Llava, minicpm-v) for personalised didactic material generation from OERs, including summaries, flashcards, and quizzes (CI4), the core technique is Agentic RAG with structured prompting via LlamaIndex (CI5), and the full text is available (CI6). Not a review, not in the medical domain, not an editorial.",gemma 2:2b (Ollama); Llava (multimodal SLM); minicpm-v (multimodal SLM),"Agentic RAG (LlamaIndex Router Query Engine with List Index, Vector Store Index, and Multimodal Vector Store Index); structured prompting per tool (Summary Tool, Flashcard Tool, Quiz Tool, Retrieval Tool, Image QA Tool)",,"Open Educational Resources (OERs) provided by the learner at runtime; evaluation on 4 public OERs (economics, equity, respiratory anatomy, etc.)","Text summaries, flashcards, multiple-choice quizzes, answers to contextual questions, answers to visual questions (image QA)","BERT Score (semantic similarity of summaries generated by the agent versus ChatGPT GPT-4o); qualitative analysis of correct tool selection by the Router (25 questions on 4 OERs, score 0-2 per question)",yes,Not specified (self-directed learning with OERs; implicit university context; also mentioned for use on low-cost devices accessible to learners in general),RQ2; RQ3; RQ4; RQ6; RQ7,"The agentic RAG agent with locally running open-source SLMs via Ollama selected the correct tool autonomously in virtually all queries. Summaries achieved high semantic similarity with GPT-4o outputs according to BERT Score, showing that lightweight SLMs can deliver near-state-of-the-art performance with full learner privacy, no cloud infrastructure cost, and multimodal support (text plus images). The design is reproducible and the implementation guides are publicly available."
